rank,word,pos,definition,synonyms,antonyms,usage_where,usage_where_not,example_1,example_2,example_3
2101,contiguous,adjective,connecting without a break; within a common boundary,neighboring; immediate; adjacent; conterminous,,"Use ""contiguous"" (adjective) when you want to convey connecting without a break; within a common boundary. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""contiguous"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: A key consideration in modern discourse is how the contiguous principle shapes contemporary policy decisions.,"Conversational: Honestly, the contiguous behavior of the team has been a major source of tension lately.",GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: contiguous)
2102,curly-coated,adjective,covered with curly hair,curly-haired,,"Use ""curly-coated"" (adjective) when you want to convey covered with curly hair. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""curly-coated"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the curly-coated effect was statistically significant across all samples.,"Conversational: Honestly, the curly-coated behavior of the team has been a major source of tension lately.",GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: curly-coated)
2103,announced,adjective,declared publicly; made widely known,herald; harbinger; announce; denote; declare; foretell,,"Use ""announced"" (adjective) when you want to convey declared publicly; made widely known. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""announced"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: A key consideration in modern discourse is how the announced principle shapes contemporary policy decisions.,"Conversational: Look, the announced results speak for themselves — we can't ignore them any longer.",GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: announced)
2104,accessible,adjective,easy to get along with or talk to; friendly,approachable,inaccessible,"Use ""accessible"" (adjective) when you want to convey easy to get along with or talk to; friendly. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""accessible"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the accessible effect was statistically significant across all samples.,Conversational: I've noticed the accessible trend in our office culture and it's starting to concern me.,GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: accessible)
2105,unconstipated,adjective,not constipated,regular,constipated,"Use ""unconstipated"" (adjective) when you want to convey not constipated. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""unconstipated"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the unconstipated factor played a decisive role in the experimental outcome.,Conversational: I told him the unconstipated approach just wouldn't work here — we need to rethink this.,GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: unconstipated)
2106,agglutinate,adjective,united as if by glue,agglutinative,,"Use ""agglutinate"" (adjective) when you want to convey united as if by glue. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""agglutinate"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the agglutinate phenomenon could not be overlooked.","Conversational: Honestly, the agglutinate behavior of the team has been a major source of tension lately.",GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: agglutinate)
2107,wellborn,adjective,of good or upper-class lineage,,,"Use ""wellborn"" (adjective) when you want to convey of good or upper-class lineage. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""wellborn"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the wellborn phenomenon could not be overlooked.","Conversational: Honestly, the wellborn behavior of the team has been a major source of tension lately.","GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: wellborn)"
2108,involved,adjective,entangled or hindered as if e.g. in mire,call for; affect; postulate; necessitate; imply; regard,uninvolved; obviate,"Use ""involved"" (adjective) when you want to convey entangled or hindered as if e.g. in mire. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""involved"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the involved phenomenon could not be overlooked.","Conversational: Look, the involved results speak for themselves — we can't ignore them any longer.",GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: involved)
2109,precedented,adjective,having or supported or justified by a precedent,,unprecedented,"Use ""precedented"" (adjective) when you want to convey having or supported or justified by a precedent. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""precedented"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: A key consideration in modern discourse is how the precedented principle shapes contemporary policy decisions.,"Conversational: Look, the precedented results speak for themselves — we can't ignore them any longer.",GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: precedented)
2110,outside,adjective,(of a baseball pitch) on the far side of home plate from the batter,outdoor; extraneous; external; international; out-of-door; exterior,inside; indoor; indoors,"Use ""outside"" (adjective) when you want to convey (of a baseball pitch) on the far side of home plate from the batter. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""outside"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the outside effect was statistically significant across all samples.,Conversational: I've noticed the outside trend in our office culture and it's starting to concern me.,GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: outside)
