rank,word,pos,definition,synonyms,antonyms,usage_where,usage_where_not,example_1,example_2,example_3
901,secret,adjective,not openly made known,enigma; mystery; clandestine; hole-and-corner; hugger-mugger; surreptitious,,"Use ""secret"" (adjective) when you want to convey not openly made known. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""secret"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the secret effect was statistically significant across all samples.,"Conversational: Honestly, the secret behavior of the team has been a major source of tension lately.",GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: secret)
902,cragfast,adjective,stranded on or as if on a crag,,,"Use ""cragfast"" (adjective) when you want to convey stranded on or as if on a crag. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""cragfast"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the cragfast effect was statistically significant across all samples.,Conversational: I've noticed the cragfast trend in our office culture and it's starting to concern me.,GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: cragfast)
903,scratchy,adjective,lacking consistency,fractious; peevish; irritable; peckish; pettish; petulant,,"Use ""scratchy"" (adjective) when you want to convey lacking consistency. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""scratchy"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the scratchy factor played a decisive role in the experimental outcome.,"Conversational: You know, it's pretty clear that the scratchy situation needs our immediate attention.",GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: scratchy)
904,forthcoming,adjective,available when required or as promised,outgoing; coming; approaching; upcoming; extroverted,,"Use ""forthcoming"" (adjective) when you want to convey available when required or as promised. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""forthcoming"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the forthcoming effect was statistically significant across all samples.,Conversational: I've noticed the forthcoming trend in our office culture and it's starting to concern me.,GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: forthcoming)
905,coordinate,adjective,"of equal importance, rank, or degree",ordinate; organise; co-ordinate; align; organize,,"Use ""coordinate"" (adjective) when you want to convey of equal importance, rank, or degree. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""coordinate"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the coordinate hypothesis adequately explains the observed data.,"Conversational: Look, the coordinate results speak for themselves — we can't ignore them any longer.",GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: coordinate)
906,traceable,adjective,(usually followed by `to') able to be traced to,trackable,untraceable,"Use ""traceable"" (adjective) when you want to convey (usually followed by `to') able to be traced to. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""traceable"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: A key consideration in modern discourse is how the traceable principle shapes contemporary policy decisions.,"Conversational: Look, the traceable results speak for themselves — we can't ignore them any longer.",GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: traceable)
907,croaky,adjective,like the sounds of frogs and crows,guttural,,"Use ""croaky"" (adjective) when you want to convey like the sounds of frogs and crows. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""croaky"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the croaky phenomenon could not be overlooked.",Conversational: I've noticed the croaky trend in our office culture and it's starting to concern me.,GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: croaky)
908,tenebrious,adjective,dark and gloomy,tenebrous; tenebrific,,"Use ""tenebrious"" (adjective) when you want to convey dark and gloomy. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""tenebrious"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the tenebrious phenomenon could not be overlooked.","Conversational: You know, it's pretty clear that the tenebrious situation needs our immediate attention.","GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: tenebrious)"
909,coplanar,adjective,lying in the same plane,,,"Use ""coplanar"" (adjective) when you want to convey lying in the same plane. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""coplanar"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the coplanar effect was statistically significant across all samples.,"Conversational: You know, it's pretty clear that the coplanar situation needs our immediate attention.",GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: coplanar)
910,unbodied,adjective,having no body,bodiless; discorporate; disembodied; unembodied,bodied,"Use ""unbodied"" (adjective) when you want to convey having no body. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""unbodied"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the unbodied hypothesis adequately explains the observed data.,Conversational: I've noticed the unbodied trend in our office culture and it's starting to concern me.,GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: unbodied)
911,expressive,adjective,characterized by expression,,,"Use ""expressive"" (adjective) when you want to convey characterized by expression. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""expressive"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the expressive factor played a decisive role in the experimental outcome.,"Conversational: Honestly, the expressive behavior of the team has been a major source of tension lately.",GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: expressive)
912,untainted,adjective,(of reputation) free from blemishes,unstained; unsullied; untarnished; stainless,,"Use ""untainted"" (adjective) when you want to convey (of reputation) free from blemishes. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""untainted"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: A key consideration in modern discourse is how the untainted principle shapes contemporary policy decisions.,"Conversational: Look, the untainted results speak for themselves — we can't ignore them any longer.","GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: untainted)"
913,boughten,adjective,purchased; not homemade,store-bought,,"Use ""boughten"" (adjective) when you want to convey purchased; not homemade. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""boughten"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the boughten effect was statistically significant across all samples.,"Conversational: Honestly, the boughten behavior of the team has been a major source of tension lately.",GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: boughten)
914,threatening,adjective,threatening or foreshadowing evil or tragic developments,imperil; menace; jeopardize; endanger; threaten; peril,,"Use ""threatening"" (adjective) when you want to convey threatening or foreshadowing evil or tragic developments. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""threatening"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the threatening factor played a decisive role in the experimental outcome.,"Conversational: Look, the threatening results speak for themselves — we can't ignore them any longer.",GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: threatening)
915,devoid,adjective,completely wanting or lacking,innocent; free; destitute; barren,,"Use ""devoid"" (adjective) when you want to convey completely wanting or lacking. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""devoid"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the devoid hypothesis adequately explains the observed data.,"Conversational: Look, the devoid results speak for themselves — we can't ignore them any longer.",GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: devoid)
916,undistributed,adjective,(of investments) not distributed among a variety of securities,,,"Use ""undistributed"" (adjective) when you want to convey (of investments) not distributed among a variety of securities. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""undistributed"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the undistributed hypothesis adequately explains the observed data.,"Conversational: Honestly, the undistributed behavior of the team has been a major source of tension lately.",GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: undistributed)
917,crosstown,adjective,going or extending across a town or city,cross-town,,"Use ""crosstown"" (adjective) when you want to convey going or extending across a town or city. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""crosstown"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the crosstown phenomenon could not be overlooked.","Conversational: You know, it's pretty clear that the crosstown situation needs our immediate attention.",GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: crosstown)
918,well-balanced,adjective,free from psychological disorder,well-adjusted,,"Use ""well-balanced"" (adjective) when you want to convey free from psychological disorder. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""well-balanced"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the well-balanced effect was statistically significant across all samples.,"Conversational: Look, the well-balanced results speak for themselves — we can't ignore them any longer.",GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: well-balanced)
