rank,word,pos,definition,synonyms,antonyms,usage_where,usage_where_not,example_1,example_2,example_3
301,clinic,noun,A building or department,,,"Use ""clinic"" (noun) when you want to convey a building or department. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""clinic"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: A key consideration in modern discourse is how the clinic principle shapes contemporary policy decisions.,"Conversational: You know, it's pretty clear that the clinic situation needs our immediate attention.",GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: clinic)
302,clinical,adjective,relating to or based on direct observation and treatment of patients,,,"Use ""clinical"" (adjective) when you want to convey relating to or based on direct observation and treatment of patients. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""clinical"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the clinical effect was statistically significant across all samples.,Conversational: I've noticed the clinical trend in our office culture and it's starting to concern me.,GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: clinical)
303,clink,verb,To make a tinkling sound,poky; jail; slammer; click; chink; gaol,,"Use ""clink"" (verb) when you want to convey to make a tinkling sound. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""clink"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the clink phenomenon could not be overlooked.","Conversational: Honestly, the clink behavior of the team has been a major source of tension lately.",GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: clink)
304,clip,noun,A device on a cartridge,clipping; time; snip; cartridge clip; magazine; cartridge holder,unclip,"Use ""clip"" (noun) when you want to convey a device on a cartridge. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""clip"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the clip phenomenon could not be overlooked.",Conversational: I told him the clip approach just wouldn't work here — we need to rethink this.,"GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: clip)"
305,close,verb,To move toward,finish; conclusion; finale; stopping point; last; finis,distant; far; open,"Use ""close"" (verb) when you want to convey to move toward. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""close"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the close hypothesis adequately explains the observed data.,"Conversational: Look, the close results speak for themselves — we can't ignore them any longer.",GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: close)
306,clothes,noun,Coverings for the body,habilitate; dress; apparel; garb; clothe; raiment,undress,"Use ""clothes"" (noun) when you want to convey coverings for the body. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""clothes"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the clothes effect was statistically significant across all samples.,Conversational: I've noticed the clothes trend in our office culture and it's starting to concern me.,"GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: clothes)"
307,cloud,noun,A mass of water droplets,obscure; haze over; obnubilate; becloud; overcast; fog,clear up,"Use ""cloud"" (noun) when you want to convey a mass of water droplets. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""cloud"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the cloud factor played a decisive role in the experimental outcome.,"Conversational: You know, it's pretty clear that the cloud situation needs our immediate attention.","GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: cloud)"
308,club,noun,A society,lodge; baseball club; society; guild; nine; gild,,"Use ""club"" (noun) when you want to convey a society. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""club"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: A key consideration in modern discourse is how the club principle shapes contemporary policy decisions.,"Conversational: Look, the club results speak for themselves — we can't ignore them any longer.",GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: club)
309,clue,noun,A thing that serves to help,hint; clew; cue,,"Use ""clue"" (noun) when you want to convey a thing that serves to help. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""clue"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: A key consideration in modern discourse is how the clue principle shapes contemporary policy decisions.,"Conversational: You know, it's pretty clear that the clue situation needs our immediate attention.",GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: clue)
310,clumsy,adjective,Moving in an awkward way,ill-chosen; inapt; inept; unwieldy; clunky; ungainly,,"Use ""clumsy"" (adjective) when you want to convey moving in an awkward way. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""clumsy"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: A key consideration in modern discourse is how the clumsy principle shapes contemporary policy decisions.,"Conversational: Look, the clumsy results speak for themselves — we can't ignore them any longer.","GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: clumsy)"
311,coach,noun,A four-wheeled horse-drawn carriage,manager; tutor; carriage; private instructor; handler; passenger car,,"Use ""coach"" (noun) when you want to convey a four-wheeled horse-drawn carriage. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""coach"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: A key consideration in modern discourse is how the coach principle shapes contemporary policy decisions.,"Conversational: Look, the coach results speak for themselves — we can't ignore them any longer.",GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: coach)
312,coagulate,verb,To change to a thick liquid,coagulated; grumose; clot; curdled; grumous,,"Use ""coagulate"" (verb) when you want to convey to change to a thick liquid. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""coagulate"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the coagulate phenomenon could not be overlooked.","Conversational: Look, the coagulate results speak for themselves — we can't ignore them any longer.",GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: coagulate)
313,coalesce,verb,To unite into a whole,mix; meld; combine; merge; fuse; immix,,"Use ""coalesce"" (verb) when you want to convey to unite into a whole. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""coalesce"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: A key consideration in modern discourse is how the coalesce principle shapes contemporary policy decisions.,"Conversational: Honestly, the coalesce behavior of the team has been a major source of tension lately.",GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: coalesce)
314,coarse,adjective,Lacking fineness,vulgar; common; rough-cut; uncouth; harsh,fine,"Use ""coarse"" (adjective) when you want to convey lacking fineness. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""coarse"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the coarse phenomenon could not be overlooked.","Conversational: Look, the coarse results speak for themselves — we can't ignore them any longer.",GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: coarse)
315,code,noun,A system of words or symbols,computer code; write in code; cypher; encrypt; cipher; inscribe,,"Use ""code"" (noun) when you want to convey a system of words or symbols. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""code"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the code phenomenon could not be overlooked.",Conversational: I've noticed the code trend in our office culture and it's starting to concern me.,"GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: code)"
316,coffee,noun,A hot drink made from roasted coffee beans,burnt umber; coffee berry; java; umber; deep brown; chocolate,,"Use ""coffee"" (noun) when you want to convey a hot drink made from roasted coffee beans. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""coffee"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the coffee factor played a decisive role in the experimental outcome.,"Conversational: You know, it's pretty clear that the coffee situation needs our immediate attention.",GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: coffee)
317,cognitive,adjective,relating to mental processes,,,"Use ""cognitive"" (adjective) when you want to convey relating to mental processes. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""cognitive"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the cognitive hypothesis adequately explains the observed data.,"Conversational: Honestly, the cognitive behavior of the team has been a major source of tension lately.",GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: cognitive)
318,cohort,noun,A group of people,age bracket; age group,,"Use ""cohort"" (noun) when you want to convey a group of people. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""cohort"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the cohort factor played a decisive role in the experimental outcome.,"Conversational: Look, the cohort results speak for themselves — we can't ignore them any longer.",GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: cohort)
319,coin,noun,A flat piece of metal used as money,strike; mint,,"Use ""coin"" (noun) when you want to convey a flat piece of metal used as money. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""coin"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the coin effect was statistically significant across all samples.,"Conversational: Honestly, the coin behavior of the team has been a major source of tension lately.",GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: coin)
320,coitus,noun,Sexual intercourse,sexual intercourse; sexual relation; sexual congress; sex act; relation; carnal knowledge,,"Use ""coitus"" (noun) when you want to convey sexual intercourse. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""coitus"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the coitus effect was statistically significant across all samples.,"Conversational: Honestly, the coitus behavior of the team has been a major source of tension lately.","GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: coitus)"
321,cold,adjective,Of or at a low temperature,stale; coldness; dusty; moth-eaten; frigidness; low temperature,hotness; hot,"Use ""cold"" (adjective) when you want to convey of or at a low temperature. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""cold"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the cold factor played a decisive role in the experimental outcome.,"Conversational: You know, it's pretty clear that the cold situation needs our immediate attention.",GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: cold)
322,collar,noun,A detachable band,shoe collar; arrest; neckband; catch; leash; choker,,"Use ""collar"" (noun) when you want to convey a detachable band. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""collar"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the collar hypothesis adequately explains the observed data.,Conversational: I told him the collar approach just wouldn't work here — we need to rethink this.,GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: collar)
323,collect,verb,To bring or gather together,accumulate; pile up; hoard; amass; compile; roll up,spread,"Use ""collect"" (verb) when you want to convey to bring or gather together. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""collect"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: A key consideration in modern discourse is how the collect principle shapes contemporary policy decisions.,Conversational: I've noticed the collect trend in our office culture and it's starting to concern me.,GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: collect)
324,college,noun,A school or association,,,"Use ""college"" (noun) when you want to convey a school or association. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""college"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the college hypothesis adequately explains the observed data.,"Conversational: Look, the college results speak for themselves — we can't ignore them any longer.",GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: college)
325,collide,verb,To come or bring to an impact,jar; clash,,"Use ""collide"" (verb) when you want to convey to come or bring to an impact. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""collide"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the collide effect was statistically significant across all samples.,"Conversational: You know, it's pretty clear that the collide situation needs our immediate attention.","GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: collide)"
326,collision,noun,An instance of two things collid,hit,,"Use ""collision"" (noun) when you want to convey an instance of two things collid. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""collision"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the collision phenomenon could not be overlooked.",Conversational: I told him the collision approach just wouldn't work here — we need to rethink this.,"GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: collision)"
327,collocate,verb,To place in an appropriate position,lump; chunk,,"Use ""collocate"" (verb) when you want to convey to place in an appropriate position. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""collocate"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: A key consideration in modern discourse is how the collocate principle shapes contemporary policy decisions.,Conversational: I've noticed the collocate trend in our office culture and it's starting to concern me.,GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: collocate)
328,colony,noun,A country or area under the political control,settlement; dependency,,"Use ""colony"" (noun) when you want to convey a country or area under the political control. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""colony"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the colony factor played a decisive role in the experimental outcome.,"Conversational: Look, the colony results speak for themselves — we can't ignore them any longer.","GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: colony)"
329,color,noun,The characteristic of an object,colour; vividness; coloration; colouring; colouration; coloring,black-and-white; colorlessness; discolor,"Use ""color"" (noun) when you want to convey the characteristic of an object. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""color"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the color effect was statistically significant across all samples.,"Conversational: Look, the color results speak for themselves — we can't ignore them any longer.",GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: color)
330,column,noun,A vertical division of a newspaper,editorial; tower; pillar; newspaper column; chromatography column,,"Use ""column"" (noun) when you want to convey a vertical division of a newspaper. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""column"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the column effect was statistically significant across all samples.,"Conversational: Look, the column results speak for themselves — we can't ignore them any longer.",GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: column)
331,comb,noun,A strip of plastic or metal with narrow parallel pins,coxcomb; combing; disentangle; cockscomb; ransack; comb out,,"Use ""comb"" (noun) when you want to convey a strip of plastic or metal with narrow parallel pins. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""comb"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the comb hypothesis adequately explains the observed data.,Conversational: I've noticed the comb trend in our office culture and it's starting to concern me.,GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: comb)
332,combat,noun,A fought between opposing forces,fight; armed combat; fighting; battle; scrap,,"Use ""combat"" (noun) when you want to convey a fought between opposing forces. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""combat"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the combat phenomenon could not be overlooked.","Conversational: Honestly, the combat behavior of the team has been a major source of tension lately.","GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: combat)"
333,combine,verb,To add or mix together,compound; cartel; corporate trust; unite; combining; trust,,"Use ""combine"" (verb) when you want to convey to add or mix together. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""combine"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: A key consideration in modern discourse is how the combine principle shapes contemporary policy decisions.,Conversational: I've noticed the combine trend in our office culture and it's starting to concern me.,GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: combine)
334,come,verb,To fail to achieve,semen; seed; come up; seminal fluid; cum; ejaculate,go; leave,"Use ""come"" (verb) when you want to convey to fail to achieve. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""come"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the come phenomenon could not be overlooked.","Conversational: Honestly, the come behavior of the team has been a major source of tension lately.",GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: come)
335,comfort,noun,A state of being physically at ease,ease; consolation; comfortableness; comforter; puff; quilt,discomfort,"Use ""comfort"" (noun) when you want to convey a state of being physically at ease. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""comfort"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the comfort hypothesis adequately explains the observed data.,Conversational: I've noticed the comfort trend in our office culture and it's starting to concern me.,"GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: comfort)"
336,command,noun,An order that something is committed to,bidding; statement; instruction; control; bid; program line,,"Use ""command"" (noun) when you want to convey an order that something is committed to. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""command"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the command effect was statistically significant across all samples.,"Conversational: Look, the command results speak for themselves — we can't ignore them any longer.",GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: command)
337,comment,noun,A speech act; a written note,gossip; commentary; remark; input; notice; point out,,"Use ""comment"" (noun) when you want to convey a speech act; a written note. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""comment"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the comment factor played a decisive role in the experimental outcome.,"Conversational: Honestly, the comment behavior of the team has been a major source of tension lately.",GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: comment)
338,commerce,noun,A particular type of trade or trading,commercialism; DoC; mercantilism; Department of Commerce; Commerce Department,,"Use ""commerce"" (noun) when you want to convey a particular type of trade or trading. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""commerce"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the commerce hypothesis adequately explains the observed data.,Conversational: I've noticed the commerce trend in our office culture and it's starting to concern me.,"GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: commerce)"
339,commercial,noun,A paid advertisement,commercial message; commercial-grade,noncommercial,"Use ""commercial"" (noun) when you want to convey a paid advertisement. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""commercial"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the commercial factor played a decisive role in the experimental outcome.,"Conversational: Honestly, the commercial behavior of the team has been a major source of tension lately.",GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: commercial)
340,commission,noun,An order for someone to produce something,delegation; commissioning; deputation; committee; delegacy; mission,,"Use ""commission"" (noun) when you want to convey an order for someone to produce something. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""commission"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the commission effect was statistically significant across all samples.,Conversational: I've noticed the commission trend in our office culture and it's starting to concern me.,"GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: commission)"
341,commit,verb,To bring about or commit,perpetrate; give; consecrate; dedicate; pull; devote,divest,"Use ""commit"" (verb) when you want to convey to bring about or commit. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""commit"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the commit effect was statistically significant across all samples.,"Conversational: Look, the commit results speak for themselves — we can't ignore them any longer.",GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: commit)
342,communicate,verb,To impart or exchange information,convey; intercommunicate; put across; pass along; pass; transmit,excommunicate,"Use ""communicate"" (verb) when you want to convey to impart or exchange information. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""communicate"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: A key consideration in modern discourse is how the communicate principle shapes contemporary policy decisions.,"Conversational: Look, the communicate results speak for themselves — we can't ignore them any longer.","GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: communicate)"
343,community,noun,A group of people,residential district; biotic community; community of interests; residential area,,"Use ""community"" (noun) when you want to convey a group of people. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""community"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the community factor played a decisive role in the experimental outcome.,Conversational: I told him the community approach just wouldn't work here — we need to rethink this.,"GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: community)"
344,company,noun,A commercial business,society; party; troupe; fellowship; companionship; caller,,"Use ""company"" (noun) when you want to convey a commercial business. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""company"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the company phenomenon could not be overlooked.",Conversational: I told him the company approach just wouldn't work here — we need to rethink this.,GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: company)
345,compare,verb,To act as a counterpart,equate; comparison; comparability; liken; equivalence,,"Use ""compare"" (verb) when you want to convey to act as a counterpart. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""compare"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the compare hypothesis adequately explains the observed data.,"Conversational: Honestly, the compare behavior of the team has been a major source of tension lately.",GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: compare)
